 ,Label,Area,Mean,Min,Max,X,Y,BX,BY,Width,Height
8576,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0202-0990,722,13957.752,139,52021,842.388,593.582,825,607,34,29
8577,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0203-0995,742,14841.205,199,49416,1354.132,587.740,1338,605,31,35
8578,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0204-0994,505,15480.943,832,47209,1238.167,590.591,1225,603,31,28
8579,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0205-0997,665,14839.668,130,57609,652.656,586.819,637,602,29,32
8580,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0206-0995,492,13289.996,238,46697,1499.612,586.346,1486,602,30,29
8581,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0207-1002,533,14329.201,121,48665,1563.144,581.575,1549,595,26,29
8582,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0208-1013,681,15118.492,398,52589,251.011,572.080,235,587,33,35
8583,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0209-1017,1024,20923.290,206,63297,617.713,565.762,600,584,36,36
8584,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0210-1017,1059,16987.800,114,65535,1454.119,564.959,1434,582,41,33
8585,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0211-1016,601,15623.208,416,50930,1156.438,567.056,1142,581,28,28
8586,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0212-1023,520,15355.148,281,60037,903.819,562.725,889,578,27,36
8587,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0213-1021,451,13450.672,235,41474,1051.453,560.535,1032,576,33,28
8588,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0214-1027,814,15392.733,228,59889,1113.285,555.727,1098,575,30,38
8589,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0215-1036,2235,30508.451,119,65535,36.772,546.933,10,574,53,54
8590,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0216-1028,961,16609.950,253,60217,1198.908,554.228,1181,574,35,39
8591,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0217-1030,650,15152.702,301,51362,687.503,556.782,671,570,43,34
8592,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0218-1034,1104,15132.546,116,64456,1397.369,550.607,1373,568,44,38
8593,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0219-1032,489,14395.912,112,43976,947.921,552.343,931,565,31,29
8594,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0220-1044,771,14305.123,210,52776,126.436,540.056,110,560,38,43
8595,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0221-1036,401,15156.621,274,47746,467.024,547.161,455,558,23,22
8596,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0222-1037,484,13821.773,144,52069,330.430,545.345,312,555,37,19
8597,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0223-1059,823,14717.536,121,50464,573.918,521.589,549,542,45,37
8598,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0224-1059,713,13577.896,151,50027,284.208,523.778,269,541,30,35
8599,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0225-1060,633,13753.531,123,51015,632.682,522.400,616,540,36,35
8600,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0226-1071,718,15487.517,183,58088,427.550,514.446,403,530,41,36
8601,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0227-1072,1018,15198.236,132,52251,1021.520,511.239,1002,530,42,38
8602,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0228-1074,873,15496.865,256,64234,353.054,508.456,334,526,37,35
8603,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0229-1074,1000,18282.647,299,61882,884.469,508.236,867,526,35,35
8604,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0230-1083,697,14418.547,78,49552,1106.375,501.523,1087,519,38,38
8605,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0231-1085,533,13903.675,183,56987,1363.014,497.748,1348,512,28,29
8606,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0232-1086,486,15111.568,114,48238,171.255,495.885,157,507,30,21
8607,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0233-1098,810,14450.152,448,52937,117.875,480.860,92,503,46,37
8608,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0234-1106,630,14067.027,110,53577,466.979,479.083,447,491,35,29
8609,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0235-1116,468,12693.955,110,50296,306.607,464.953,295,482,23,30
8610,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0236-1116,485,15496.670,331,57570,399.630,466.044,385,478,29,23
8611,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0237-1134,410,13865.371,107,48224,1358.834,447.315,1348,464,22,30
8612,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0238-1135,492,13651.831,166,50164,151.604,446.028,136,463,31,31
8613,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0239-1143,1258,16927.418,180,65535,978.257,440.439,959,461,40,42
8614,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0240-1152,1385,18706.062,182,60041,1285.083,430.135,1260,450,48,39
